"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2024","173.23","175.57","175.63","171.86","26.32M","-1.39%"
"06/25/2024","175.68","177.84","179.00","175.25","30.58M","-1.28%"
"06/24/2024","177.96","176.16","178.90","175.13","47.59M","-1.10%"
"06/21/2024","179.94","179.40","180.90","178.18","65.50M","-1.28%"
"06/20/2024","182.28","181.60","182.95","179.37","38.84M","1.26%"
"06/19/2024","180.02","182.45","182.49","179.31","27.48M","-0.61%"
"06/18/2024","181.12","183.80","184.60","180.60","35.03M","-1.11%"
"06/14/2024","183.15","182.95","183.50","181.40","28.51M","0.32%"
"06/13/2024","182.56","183.40","184.10","180.51","36.67M","0.18%"
"06/12/2024","182.23","182.25","183.87","181.50","33.31M","0.50%"
"06/11/2024","181.33","180.50","183.75","180.50","55.56M","0.58%"
"06/10/2024","180.29","180.21","182.10","177.36","74.29M","0.78%"
"06/07/2024","178.90","172.00","179.65","170.80","84.32M","3.98%"
"06/06/2024","172.05","170.00","174.70","169.40","57.92M","1.68%"
"06/05/2024","169.20","162.15","169.60","159.00","60.10M","6.45%"
"06/04/2024","158.95","174.50","174.65","148.15","125.04M","-8.78%"
"06/03/2024","174.25","173.25","175.00","168.85","86.40M","4.22%"
"05/31/2024","167.20","166.05","167.95","164.00","83.71M","1.86%"
"05/30/2024","164.15","172.00","172.00","163.35","108.81M","-5.80%"
"05/29/2024","174.25","174.75","176.00","173.50","36.58M","-0.37%"
"05/28/2024","174.90","175.90","177.50","173.45","39.21M","-0.34%"
"05/27/2024","175.50","177.70","177.70","174.85","30.41M","0.37%"
"05/24/2024","174.85","174.95","177.55","174.15","38.67M","-0.37%"
"05/23/2024","175.50","173.05","175.80","170.50","49.38M","1.27%"
"05/22/2024","173.30","175.45","175.50","171.50","42.92M","-0.60%"
"05/21/2024","174.35","168.50","175.20","167.95","84.83M","3.84%"
"05/18/2024","167.90","168.00","168.30","167.30","3.60M","0.33%"
"05/17/2024","167.35","166.60","168.45","165.45","39.18M","0.87%"
"05/16/2024","165.90","167.25","168.00","162.30","41.13M","0.18%"
"05/15/2024","165.60","164.95","167.55","164.95","29.60M","0.39%"
"05/14/2024","164.95","164.10","166.55","163.50","46.26M","0.67%"
"05/13/2024","163.85","162.45","164.50","158.05","36.56M","0.99%"
"05/10/2024","162.25","163.20","164.35","161.85","31.47M","0.22%"
"05/09/2024","161.90","165.95","166.70","161.50","30.22M","-2.50%"
